epoch,q-online-value,q-target-value,epsilon
1.0,0.2436184733887785,0.027686867456395703,0.9386249495354222
2.0,0.28366019076202065,0.12062707057657462,0.8810548453531973
3.0,0.5519036075565964,0.1757616416007295,0.8270537998067655
4.0,0.6481775515712798,0.07999429923074786,0.7764005491043259
5.0,0.7920339186675847,0.13269865244183165,0.7288875467029541
6.0,1.5693095587193966,0.4233373782772105,0.6843201129077516
7.0,1.0675619877874851,0.15303508823762968,0.6425156371915971
8.0,1.1382245887070894,0.13725995877211972,0.603302829967083
9.0,1.1974012674763799,0.18370717927155056,0.5665210207448542
10.0,1.2109500169754028,0.1379982946095879,0.5320194998026181
11.0,1.191018745303154,0.16038535762345418,0.49965690066738644
12.0,1.2307874914258718,0.21027912931731407,0.46930062088073027
13.0,1.270597480237484,0.693566156693123,0.4408262786736931
14.0,1.8091997262090445,1.2555409353226423,0.41411720332514346
15.0,1.931250911206007,1.204893491230905,0.38906395711536096
16.0,2.0066123958677053,1.1948709581047297,0.3655638869161105
17.0,2.093669204041362,1.2300123292952776,0.3435207035798906
18.0,2.1231290102005005,1.2188110006973147,0.32284408740494386
19.0,2.154355265200138,1.2155637256801128,0.3034493180594659
20.0,2.160684434697032,1.2349223922938108,0.2852569274486622
21.0,2.14902357570827,1.2592543363571167,0.2681923741023124
22.0,2.1504214983433485,1.2413073368370533,0.25218573774867753
23.0,2.1322546917945147,1.2074480364099145,0.2371714328232976
24.0,2.144804898649454,1.2191648110747337,0.2230879397388124
25.0,2.1557992696762085,1.256472903303802,0.20987755281470882
26.0,2.5092189721763134,2.146170098334551,0.19748614383416432
27.0,2.808773871511221,2.1554616913199425,0.18586294025918362
28.0,2.87542687356472,2.143904300406575,0.1749603171952882
29.0,2.954159017652273,2.1614620182663202,0.16473360225335532
30.0,2.979373276233673,2.172251461073756,0.15514089250904667
31.0,2.949366420507431,2.1621836684644222,0.14614288280983795
32.0,2.9696341268718243,2.15447442792356,0.1377027047261542
33.0,2.908095333725214,2.1546108033508062,0.12978577548672915
34.0,2.935923043638468,2.1603081710636616,0.12235965627921742
35.0,2.9413968846201897,2.1713602785021067,0.11539391933546027
36.0,2.902082521468401,2.145664295181632,0.10886002325680014
37.0,2.908656395971775,2.139119680970907,0.10273119606860276
38.0,3.069373495876789,2.5492345821112394,0.09698232552481371
39.0,3.4656340666115284,2.9613587595522404,0.09158985621308463
40.0,3.533494085073471,2.949587255716324,0.08653169303886674
41.0,3.5959368497133255,2.954727314412594,0.08178711069300812
42.0,3.577434416860342,2.9351096972823143,0.0773366687319075
43.0,3.5910994559526443,2.946438070386648,0.07316213192227378
44.0,3.65221331641078,2.9798273406922817,0.06924639552411233
45.0,3.5984911657869816,2.955683909356594,0.06557341520579238
46.0,3.5841572005301714,2.9462876934558153,0.06212814130403032
47.0,3.5907160192728043,2.9411797411739826,0.05889645715942476
48.0,3.6163799352943897,2.943893473595381,0.05586512127488055
49.0,3.636252384632826,2.962323736399412,0.053021713059921184
50.0,3.5272390134632587,2.9233716540038586,0.05035458193858255
51.0,3.891220612451434,3.5821867026388645,0.047852799612362905
52.0,4.085184786468744,3.604993876069784,0.04550611528263126
53.0,4.145407725125551,3.636018417775631,0.04330491364902258
54.0,4.121908474713564,3.598116874694824,0.041240175511722404
55.0,4.1706297770142555,3.621337156742811,0.03930344081621308
56.0,4.0326056480407715,3.531876351684332,0.03748677398906071
57.0,4.125708818435669,3.6001829765737057,0.03578273142271016
58.0,4.139658760279417,3.598727587610483,0.03418433097606016
59.0,4.081076588481665,3.5583449602127075,0.032685023365850316
60.0,4.028326092287898,3.5382710471749306,0.031278665331639026
61.0,4.179025029763579,3.6262268498539925,0.02995949446441861
62.0,4.137056613340974,3.6066926941275597,0.028722105595730574
63.0,4.1935531329363585,3.8557968363165855,0.027561428650537526
64.0,4.469068272039294,4.142060961574316,0.02647270787310639
65.0,4.687761090695858,4.250776134431362,0.025451482340783003
66.0,4.717940416187048,4.239546522498131,0.024493567685815232
67.0,5.1127553805708885,4.540600724518299,0.023595038950331715
68.0,5.2045068964362144,4.5732459127902985,0.022752214504226147
69.0,5.103969469666481,4.497296787798405,0.02196164096005241
70.0,5.454222768545151,4.754661712795496,0.021220079023120713
71.0,5.524526484310627,4.790068384259939,0.020524490218817092
72.0,5.169291168451309,4.558940388262272,0.019872024442762693
73.0,5.434725105762482,4.733588490635157,0.01926000828280098
74.0,6.211744427680969,5.220420107245445,0.018685934064963283
75.0,6.067969731986523,5.147274449467659,0.01814744957852983
76.0,6.18802035599947,5.910712629556656,0.017642348438085514
77.0,6.0183568596839905,5.458294793963432,0.017168561043080073
78.0,6.034179091453552,5.387272849678993,0.01672414609785033
79.0,6.003216989338398,5.299049697816372,0.016307282657358656
80.0,6.27931410074234,5.495559141039848,0.015916262666055885
81.0,6.553461782634258,5.7112897336483,0.015549483959297422
82.0,6.623373240232468,5.786259867250919,0.015205443698636568
83.0,6.609824366867542,5.784427419304848,0.014882732214096833
84.0,6.3633449748158455,5.599969491362572,0.014580027228192577
85.0,7.055174894630909,6.133374869823456,0.014296088438031505
86.0,6.117229886353016,5.401732861995697,0.014029752433299715
87.0,6.526680417358875,5.7087215557694435,0.013779927929306254
88.0,6.55124469101429,6.029668897390366,0.013545591295555107
89.0,6.607875429093838,6.15458957105875,0.013325782361523328
90.0,7.257681615650654,6.536833666265011,0.013119600482459998
91.0,7.601974330842495,6.776448108255863,0.012926200849085953
92.0,7.862077504396439,6.977247320115566,0.01274479102607369
93.0,6.6972193494439125,5.995043873786926,0.012574627705124202
94.0,6.905301980674267,6.157157257199287,0.012415013659336829
95.0,8.35111302882433,7.361257649958134,0.012265294886392948
96.0,7.172048941254616,6.420321986079216,0.01212485792884798
97.0,7.932643085718155,7.047988101840019,0.011993127360551917
98.0,8.127853974699974,7.20477919280529,0.011869563428899185
99.0,6.719112850725651,6.026242755353451,0.01175365984324725
100.0,6.869544319808483,6.153059363365173,0.011644941700442194
101.0,8.29274207353592,7.9778280183672905,0.011542963538951359
102.0,8.024611242115498,7.390231050550938,0.011447307513630002
103.0,8.932394035160542,8.118735060095787,0.011357581683643331
104.0,7.672721244394779,6.956416979432106,0.01127341840652879
105.0,7.517381869256496,6.8220671862363815,0.01119447283181846
106.0,7.788933329284191,7.081906154751778,0.011120421488049344
107.0,7.610477887094021,6.920304745435715,0.011050960957371944
108.0,7.665166907012463,6.957933388650417,0.010985806632326485
109.0,7.533999763429165,6.8418551832437515,0.010924691549692795
110.0,8.307030573487282,7.510350599884987,0.010867365296635659
111.0,8.919873356819153,8.048758886754513,0.010813592984663703
112.0,7.815266154706478,7.107154853641987,0.010763154287197681
113.0,7.64488922804594,7.1828712448477745,0.010715842536804736
114.0,8.196531683206558,7.687658704817295,0.010671463878399602
115.0,8.472051717340946,7.773334719240665,0.01062983647494312
116.0,8.045561619102955,7.392897538840771,0.010590789762383458
117.0,8.983664721250534,8.239340037107468,0.010554163750787255
118.0,10.751678362488747,9.810094371438026,0.010519808368797146
119.0,11.13269817829132,10.144943594932556,0.010487582848729637
120.0,9.66599029302597,8.871509701013565,0.010457355149793835
121.0,8.590059377253056,7.899225704371929,0.010429001417067743
122.0,8.880893312394619,8.162358120083809,0.01040240547401531
123.0,9.945699527859688,9.04844468832016,0.010377458346464894
124.0,10.164552882313728,9.251543462276459,0.010354057816098673
125.0,8.742837637662888,8.0210792273283,0.010332108001623487
126.0,9.035012423992157,8.72182446718216,0.01031151896590699
127.0,9.539266772568226,8.889013566076756,0.0102922063474694
128.0,9.418693043291569,8.713884696364403,0.010274091014820911
129.0,11.243151038885117,10.35248053073883,0.010257098742228465
130.0,9.363328665494919,8.645832598209381,0.010241159905583363
131.0,9.112706311047077,8.438799895346165,0.010226209197123554
132.0,8.450241670012474,7.872323542833328,0.010212185357841725
133.0,9.365580052137375,8.65195107460022,0.010199030926482755
134.0,9.619193650782108,8.883508950471878,0.010186692004102058
135.0,11.066793337464333,10.164351522922516,0.01017511803322014
136.0,9.682702295482159,8.943557441234589,0.01016426159066848
137.0,9.232840053737164,8.553555779159069,0.010154078193277905
138.0,9.312310568988323,8.945482589304447,0.010144526115613338
139.0,10.491824485361576,9.9147222712636,0.010135566219008067
140.0,11.334956601262093,10.577083423733711,0.010127161791197044
141.0,9.502399176359177,8.837409727275372,0.01011927839589211
142.0,11.916130647063255,11.067276448011398,0.010111883731682805
143.0,10.401946514844894,9.722705699503422,0.010104947499684627
144.0,9.705428846180439,9.086189538240433,0.010098441279392429
145.0,10.691435150802135,10.008384078741074,0.0100923384122303
146.0,11.563275128602982,10.782521411776543,0.01008661389232075
147.0,9.232926592230797,8.631408132612705,0.01008124426402568
148.0,10.805693373084068,10.030447766184807,0.010076207525839282
149.0,10.056758500635624,9.40948336571455,0.010071483040239115
150.0,10.43183959275484,9.737388879060745,0.010067051449125945
151.0,9.281067691743374,8.960910215973854,0.010062894594505918
152.0,10.654264494776726,10.059485577046871,0.010058995444090009
153.0,10.213755026459694,9.5593271702528,0.010055338021505964
154.0,10.046181090176105,9.406546846032143,0.010051907340836733
155.0,10.400393158197403,9.739970453083515,0.010048689345217202
156.0,13.21508677303791,12.385524213314056,0.010045670849237612
157.0,11.886026442050934,11.102389514446259,0.010042839484917694
158.0,11.089796155691147,10.381156511604786,0.010040183651030118
159.0,10.205336965620518,9.58186698704958,0.01003769246556565
160.0,10.632522009313107,9.994534201920033,0.01003535572114522
161.0,10.586396925151348,9.946154460310936,0.01003316384319623
162.0,10.657319389283657,9.98862710595131,0.010031107850721716
163.0,10.614274136722088,10.139273017644882,0.010029179319501626
164.0,11.085074320435524,10.556090965867043,0.01002737034757543
165.0,11.161773353815079,10.524491481482983,0.010025673522864646
166.0,13.166385903954506,12.39543041586876,0.010024081892802605
167.0,13.235732063651085,12.440229028463364,0.010022588935847006
168.0,13.425577014684677,12.58427070081234,0.010021188534758571
169.0,14.683751314878464,13.751394242048264,0.01001987495153627
170.0,13.294891357421875,12.477929458022118,0.010018642803906453
171.0,12.456026896834373,11.711314678192139,0.010017487043269524
172.0,11.816970072686672,11.12497616559267,0.010016402934013824
173.0,11.83885869383812,11.141822226345539,0.010015386034111938
174.0,13.073088765144348,12.247658342123032,0.01001443217691995
175.0,12.960785567760468,12.153564363718033,0.010013537454105024
176.0,14.109084278345108,13.724406287074089,0.01001269819963143
177.0,14.064663752913475,13.351971253752708,0.010011910974739321
178.0,12.628084644675255,11.914595998823643,0.010011172553854768
179.0,14.89471635222435,14.080368667840958,0.010010479911373299
180.0,15.185964688658714,14.36742277443409,0.010009830209262792
181.0,12.48653694987297,11.821443542838097,0.010009220785434933
182.0,13.00732446461916,12.280708506703377,0.010008649142837568
183.0,11.956454999744892,11.278033331036568,0.010008112939223294
184.0,14.16722796857357,13.320461437106133,0.010007609977552338
185.0,13.439235404133797,12.675403133034706,0.01000713819699041
186.0,12.717378005385399,12.003682047128677,0.010006695664464639
187.0,11.432855628430843,10.840547785162926,0.010006280566743013
188.0,11.956058405339718,11.483313582837582,0.010005891203004833
189.0,15.620112910866737,15.046886399388313,0.010005525977871783
190.0,15.701183840632439,14.966579765081406,0.010005183394871029
191.0,15.204418122768402,14.443462878465652,0.010004862050303567
192.0,13.458869203925133,12.778571411967278,0.010004560627492715
193.0,14.18743148446083,13.423710435628891,0.010004277891389165
194.0,12.606673195958138,12.027967557311058,0.010004012683510486
195.0,15.187887236475945,14.402181774377823,0.01000376391719437
196.0,13.050182297825813,12.359329834580421,0.010003530573146138
197.0,14.491225257515907,13.728780075907707,0.010003311695262288
198.0,12.25759069621563,11.589231595396996,0.010003106386712948
199.0,14.961912974715233,14.20155082643032,0.01000291380626722
200.0,14.872103452682495,14.120604112744331,0.010002733164846317
201.0,15.01158720254898,14.620181009173393,0.010002563722290386
202.0,15.635898783802986,14.911116406321526,0.010002404784325791
203.0,16.308193564414978,15.507477715611458,0.010002255699720386
204.0,13.86548826098442,13.166066244244576,0.010002115857615162
205.0,15.734467849135399,14.960334494709969,0.010001984685021318
206.0,15.805164009332657,15.011943459510803,0.010001861644472488
207.0,15.812183365225792,15.041478216648102,0.010001746231822543
208.0,15.508409187197685,14.752340286970139,0.010001637974179885
209.0,16.03935892879963,15.205190315842628,0.010001536427969835
210.0,16.214508682489395,15.379803612828255,0.010001441177117125
211.0,15.93225048482418,15.110659524798393,0.010001351831341071
212.0,15.950644180178642,15.131467938423157,0.010001268024556448
213.0,16.03269961476326,15.504909470677376,0.010001189413373475
214.0,16.358832895755768,15.742920383810997,0.01000111567569083
215.0,14.222633987665176,13.544386550784111,0.010001046509375852
216.0,16.577613189816475,15.810474053025246,0.010000981631026605
217.0,18.23354670405388,17.36698091030121,0.01000092077481065
218.0,16.680183976888657,15.889995262026787,0.010000863691375832
219.0,14.58919008076191,13.856720596551895,0.010000810146828581
220.0,15.812041029334068,15.072220593690872,0.010000759921775564
221.0,16.416666641831398,15.654731407761574,0.010000712810424731
222.0,15.672888308763504,14.918249949812889,0.010000668619742116
223.0,16.08155782520771,15.313585191965103,0.010000627168660889
224.0,16.62298358976841,15.767181560397148,0.010000588287339462
225.0,14.479307234287262,13.802567064762115,0.010000551816465577
226.0,16.34784772992134,15.969951003789902,0.010000517606603535
227.0,16.942522585392,16.25920759141445,0.010000485517581906
228.0,17.290366053581238,16.50973854959011,0.010000455417919187
229.0,18.050974160432816,17.287177324295044,0.010000427184285074
230.0,17.172628104686737,16.38255850970745,0.010000400700995121
231.0,18.424341529607773,17.570020779967308,0.01000037585953674
232.0,16.260979413986206,15.475236669182777,0.010000352558124584
233.0,15.110187873244286,14.33674804866314,0.010000330701283484
234.0,16.89964246749878,16.125358074903488,0.01000031019945726
235.0,14.993947729468346,14.275040194392204,0.01000029096864176
236.0,16.333585172891617,15.629192113876343,0.01000027293004068
237.0,16.97287166118622,16.180096179246902,0.010000256009742678
238.0,16.757224589586258,16.26645851135254,0.010000240138418562
239.0,17.776008367538452,17.174863159656525,0.010000225251037189
240.0,18.781922847032547,18.027690410614014,0.010000211286599033
241.0,19.742589116096497,19.044483214616776,0.010000198187886227
242.0,17.75796550512314,17.007986456155777,0.010000185901228127
243.0,18.965170085430145,18.156644731760025,0.010000174376281402
244.0,17.436365827918053,16.720026075839996,0.010000163565823755
245.0,18.283356845378876,17.493395060300827,0.010000153425560435
246.0,18.959424167871475,18.136649757623672,0.010000143913942744
247.0,19.617199271917343,18.841948002576828,0.010000134991997795
248.0,17.834495723247528,17.064308881759644,0.010000126623168829
249.0,16.668224275112152,15.983185470104218,0.010000118773165418
250.0,16.000884473323822,15.452972993254662,0.010000111409822971
251.0,18.29745826125145,17.903814911842346,0.010000104502970945
252.0,18.892197519540787,18.195521384477615,0.010000098024309212
253.0,19.141134202480316,18.401076674461365,0.010000091947292117
254.0,18.83844891190529,18.123170912265778,0.010000086247019698
255.0,19.308649241924286,18.572323948144913,0.010000080900135672
256.0,19.649024158716202,18.897329926490784,0.010000075884731723
257.0,17.95982190966606,17.243511497974396,0.010000071180257744
258.0,17.891127437353134,17.195257365703583,0.010000066767437633
259.0,18.130881011486053,17.510859608650208,0.010000062628190304
260.0,19.232936084270477,18.46372663974762,0.010000058745555618
261.0,19.140590578317642,18.358398884534836,0.01000005510362487
262.0,19.221156537532806,18.446334064006805,0.01000005168747562
263.0,18.401232689619064,17.899895131587982,0.010000048483110544
264.0,18.117142379283905,17.393999814987183,0.010000045477400084
