epoch,q-online-value,q-target-value,epsilon
1.0,0.1321106704272097,0.15864605885872152,0.9993666027087532
2.0,0.2878675190731883,0.1636988029931672,0.9987336106620807
3.0,0.3760801034513861,0.1585951779561583,0.9981010236007088
4.0,0.5140493912622333,0.14664421463385224,0.9974688412655301
5.0,0.7341012358665466,0.1723872497532284,0.9968370633976026
6.0,0.9266565386205912,0.19089496749802493,0.99620568973815
7.0,1.0241869566962123,0.163366807057173,0.9955747200285618
8.0,1.1293207900598645,0.1584563609721954,0.9949441540103927
9.0,1.1716492371633649,0.12830680893966928,0.9943139914253627
10.0,1.1866447180509567,0.1488929633924272,0.9936842320153575
11.0,1.278594020754099,0.2082630086442805,0.9930548755224275
12.0,1.2494891732931137,0.1942664906673599,0.9924259216887882
13.0,1.362958513200283,0.766426787362434,0.9917973702568201
14.0,1.5266632940620184,1.2234308831393719,0.9911692209690687
15.0,1.8743134923279285,1.2636038903146982,0.9905414735682438
16.0,1.9394661635160446,1.1762881428003311,0.9899141277972203
17.0,2.164095353335142,1.2385507822036743,0.9892871833990372
18.0,2.300050977617502,1.2812844552099705,0.988660640116898
19.0,2.171866487711668,1.188993200659752,0.9880344976941708
20.0,2.139953851699829,1.1508465707302094,0.9874087558743876
21.0,2.236326076090336,1.2267572861164808,0.9867834144012444
22.0,2.1995958983898163,1.1890754736959934,0.9861584730186014
23.0,2.1647927947342396,1.159978387877345,0.9855339314704826
24.0,2.2022113241255283,1.214471384882927,0.9849097895010757
25.0,2.212466672062874,1.2398002687841654,0.9842860468547323
26.0,2.3770443685352802,2.159312542527914,0.9836627032759672
27.0,2.6859343238174915,2.184361945837736,0.9830397585094591
28.0,3.0072515346109867,2.230976965278387,0.9824172123000495
29.0,3.118796393275261,2.219731107354164,0.9817950643927439
30.0,3.1159397773444653,2.201020024716854,0.9811733145327101
31.0,3.1147286146879196,2.1779062785208225,0.9805519624652796
32.0,3.0589199028909206,2.1535818725824356,0.9799310079359465
33.0,3.137898050248623,2.2568775229156017,0.9793104506903678
34.0,3.1272269636392593,2.2376718632876873,0.9786902904743632
35.0,3.1017336659133434,2.2238698080182076,0.9780705270339151
36.0,3.133117988705635,2.2382037341594696,0.9774511601151684
37.0,3.1910850554704666,2.262424111366272,0.9768321894644305
38.0,3.2076533399522305,2.663921419531107,0.9762136148281708
39.0,3.586913961917162,3.1303212456405163,0.9755954359530213
40.0,3.8664711341261864,3.132234539836645,0.974977652585776
41.0,4.012519005686045,3.181284073740244,0.9743602644733905
42.0,4.013550091534853,3.128339409828186,0.973743271362983
43.0,4.061635348945856,3.1862518563866615,0.9731266730018328
44.0,4.040317948907614,3.179026860743761,0.9725104691373814
45.0,4.033893376588821,3.1787022575736046,0.9718946595172315
46.0,3.9704476557672024,3.1087638959288597,0.9712792438891477
47.0,3.9384869635105133,3.097441751509905,0.9706642220010555
48.0,4.031277943402529,3.180465381592512,0.9700495936010421
49.0,3.998442370444536,3.0908347070217133,0.9694353584373557
50.0,3.9089775383472443,3.10953626036644,0.9688215162584056
51.0,4.291598595678806,4.026551961898804,0.9682080668127618
52.0,4.715807132422924,4.06147376075387,0.9675950098491557
53.0,4.817746840417385,4.018009129911661,0.9669823451164791
54.0,4.824932560324669,3.9749843142926693,0.9663700723637842
55.0,4.786302298307419,3.939316026866436,0.9657581913402845
56.0,4.822070829570293,3.931251849979162,0.9651467017953533
57.0,4.923014968633652,4.078646551817656,0.9645356034785244
58.0,4.777120396494865,3.937530431896448,0.9639248961394922
59.0,4.8286318480968475,3.975813176482916,0.9633145795281107
60.0,4.814333714544773,3.9634032286703587,0.9627046533943944
61.0,4.951310884207487,4.061471160501242,0.9620951174885173
62.0,4.910668194293976,4.05527563765645,0.9614859715608137
63.0,4.949860267341137,4.424464259296656,0.9608772153617773
64.0,5.432950370013714,4.9184209033846855,0.9602688486420616
65.0,5.52591997385025,4.740023210644722,0.9596608711524797
66.0,5.525421880185604,4.729759693145752,0.9590532826440038
67.0,5.715157546103001,4.905885256826878,0.9584460828677659
68.0,5.5374017506837845,4.750157460570335,0.9578392715750567
69.0,5.545578807592392,4.753427278250456,0.9572328485173263
70.0,5.578150689601898,4.75685753300786,0.956626813446184
71.0,5.561482638120651,4.761765539646149,0.9560211661133976
72.0,5.624939493834972,4.800774101167917,0.9554159062708942
73.0,5.493119724094868,4.702426668256521,0.9548110336707593
74.0,5.446465410292149,4.665225237607956,0.9542065480652367
75.0,5.603989131748676,4.79246761649847,0.9536024492067297
76.0,6.040611155331135,5.705533981323242,0.952998736847799
77.0,6.389608219265938,5.711168095469475,0.952395410741164
78.0,6.398023948073387,5.6212795823812485,0.9517924706397025
79.0,6.3365398570895195,5.529542800039053,0.9511899162964501
80.0,6.561778597533703,5.781068153679371,0.9505877474646006
81.0,6.481661073863506,5.655261222273111,0.9499859638975057
82.0,6.531430713832378,5.697924111038446,0.9493845653486745
83.0,6.580839090049267,5.7831395491957664,0.9487835515717746
84.0,6.341589689254761,5.545799471437931,0.9481829223206305
85.0,6.609657071530819,5.759751155972481,0.9475826773492245
86.0,6.553106963634491,5.7178395465016365,0.9469828164116963
87.0,6.634218282997608,5.788032233715057,0.9463833392623429
88.0,6.5080465748906136,6.037999734282494,0.9457842456556181
89.0,7.017872899770737,6.42141268402338,0.9451855353461336
90.0,7.077467665076256,6.337472148239613,0.9445872080886573
91.0,7.239242777228355,6.489160552620888,0.9439892636381145
92.0,7.764530926942825,6.975903332233429,0.9433917017495872
93.0,7.123691730201244,6.335229761898518,0.942794522178314
94.0,7.091967612504959,6.3520719185471535,0.9421977246796902
95.0,7.239936739206314,6.4412389025092125,0.9416013090092673
96.0,7.0497787073254585,6.264410883188248,0.9410052749227538
97.0,7.230655767023563,6.396036922931671,0.9404096221760138
98.0,7.2325722724199295,6.386034332215786,0.939814350525068
99.0,7.031701572239399,6.249364361166954,0.9392194597260932
100.0,7.5132285207509995,6.68976878374815,0.9386249495354222
101.0,7.632512614130974,7.289213538169861,0.9380308197095435
102.0,8.282223917543888,7.599065646529198,0.9374370700051013
103.0,7.603502795100212,6.943061150610447,0.9368437001788963
104.0,8.035025119781494,7.295799031853676,0.9362507099878835
105.0,7.702925518155098,6.99070630967617,0.9356580991891748
106.0,7.915890090167522,7.1582470536231995,0.9350658675400362
107.0,8.03072315454483,7.235584616661072,0.9344740147978899
108.0,8.1672243475914,7.391251794993877,0.9338825407203132
109.0,7.819490529596806,7.030477210879326,0.9332914450650378
110.0,8.134727321565151,7.303598910570145,0.9327007275899515
111.0,8.200828701257706,7.349747978150845,0.9321103880530959
112.0,8.148153156042099,7.323673918843269,0.9315204262126682
113.0,8.040635839104652,7.556811675429344,0.93093084182702
114.0,8.653945982456207,8.08060196787119,0.9303416346546575
115.0,8.848566226661205,8.156897433102131,0.9297528044542414
116.0,9.007649526000023,8.223099693655968,0.9291643509845868
117.0,9.261538654565811,8.490728348493576,0.9285762740046632
118.0,8.60020598769188,7.869891822338104,0.9279885732735945
119.0,9.245437867939472,8.467741183936596,0.927401248550658
120.0,8.602973312139511,7.882619768381119,0.9268142995952858
121.0,8.71521619707346,7.93459901958704,0.9262277261670636
