episode,steps,reward,q-online-value,q-target-value
1,23,23.0,0.010089004022555182,-0.0028906258521601558
2,18,18.0,0.030666086357086897,-0.0028906258521601558
3,10,10.0,0.0453323258087039,-0.0028906258521601558
4,21,21.0,0.06374207218842846,-0.0028906258521601558
5,52,52.0,0.10865186147678357,-0.0028906258521601558
6,26,26.0,0.1610164367235624,-0.0028906258521601558
7,18,18.0,0.19364576621188057,-0.0028906258521601558
8,33,33.0,0.23404112255031412,-0.0028906258521601558
9,15,15.0,0.2740505794684092,-0.0028906258521601558
10,44,44.0,0.3270102356645194,-0.0028906258521601558
11,19,19.0,0.386725495520391,-0.0028906258521601558
12,22,22.0,0.42854873971505597,-0.0028906258521601558
13,27,27.0,0.48073133550308367,-0.0028906258521601558
14,22,22.0,0.5348750244487416,-0.0028906258521601558
15,26,26.0,0.5890111155234851,-0.0028906258521601558
16,33,33.0,0.6581763498710863,-0.0028906258521601558
17,30,30.0,0.7307219614585241,-0.0028906258521601558
18,13,13.0,0.7810013294219971,-0.0028906258521601558
19,18,18.0,0.8149809721443388,-0.0028906258521601558
20,18,18.0,0.8487091842624876,-0.0028906258521601558
21,14,14.0,0.8755409036363874,-0.0028906258521601558
22,15,15.0,0.8983661274115244,-0.0028906258521601558
23,15,15.0,0.9200593133767446,-0.0028906258521601558
24,13,13.0,0.934488438642942,-0.0028906258521601558
25,16,16.0,0.9479696061462164,-0.0028906258521601558
26,13,13.0,0.9590193101992974,-0.0028906258521601558
27,21,21.0,0.9766143446876889,-0.0028906258521601558
28,20,20.0,0.9972066342830658,-0.0028906258521601558
29,17,17.0,1.0126473272548002,-0.0028906258521601558
30,11,11.0,1.0234189629554749,-0.0028906258521601558
31,9,9.0,1.0299813217586942,-0.0028906258521601558
32,15,15.0,1.0351782162984213,-0.0028906258521601558
33,15,15.0,1.0414989630381266,-0.0028906258521601558
34,11,11.0,1.0457566976547241,-0.0028906258521601558
35,9,9.0,1.0474098126093547,-0.0028906258521601558
36,10,10.0,1.049565315246582,-0.0028906258521601558
37,13,13.0,1.0470404166441698,-0.0028906258521601558
38,15,15.0,1.0471031030019124,-0.0028906258521601558
39,8,8.0,1.0533977821469307,-0.0028906258521601558
40,14,14.0,1.0545432354722704,-0.0028906258521601558
41,15,15.0,1.0549342592557271,-0.0028906258521601558
42,19,19.0,1.0557783089186017,-0.0028906258521601558
43,9,9.0,1.0608572165171306,0.5832070336263213
44,12,12.0,1.108571782708168,1.0520851612091064
45,9,9.0,1.1467385490735371,1.0520851612091064
46,14,14.0,1.1854393439633506,1.0520851612091064
47,12,12.0,1.2284880379835765,1.0520851612091064
48,10,10.0,1.265075933933258,1.0520851612091064
49,10,10.0,1.2990153014659882,1.0520851612091064
50,9,9.0,1.3311647905243769,1.0520851612091064
51,14,14.0,1.368575551680156,1.0520851612091064
52,10,10.0,1.4093382775783538,1.0520851612091064
53,17,17.0,1.4547201009357678,1.0520851612091064
54,11,11.0,1.5014818960970098,1.0520851612091064
55,11,11.0,1.539801386269656,1.0520851612091064
56,11,11.0,1.57881037755446,1.0520851612091064
57,15,15.0,1.6235116044680278,1.0520851612091064
58,17,17.0,1.6774313905659843,1.0520851612091064
59,9,9.0,1.7180057631598578,1.0520851612091064
60,10,10.0,1.7447636246681213,1.0520851612091064
61,11,11.0,1.7785322774540295,1.0520851612091064
62,11,11.0,1.808438609946858,1.0520851612091064
63,12,12.0,1.838174392779668,1.0520851612091064
64,12,12.0,1.8697999517122905,1.0520851612091064
65,17,17.0,1.9042316149262821,1.0520851612091064
66,12,12.0,1.9234004219373066,1.0520851612091064
67,15,15.0,1.9311970671017964,1.0520851612091064
68,12,12.0,1.9441628903150558,1.0520851612091064
69,12,12.0,1.9616815199454625,1.0520851612091064
70,14,14.0,1.9715500346251897,1.0520851612091064
71,11,11.0,1.9769725853746587,1.0520851612091064
72,11,11.0,1.9814526709643276,1.0520851612091064
73,11,11.0,1.9861007495359941,1.0520851612091064
74,10,10.0,1.9937377750873566,1.0520851612091064
75,13,13.0,2.007700415757986,1.0520851612091064
76,15,15.0,2.021319631735484,1.0520851612091064
77,11,11.0,2.01330306855115,1.0520851612091064
78,15,15.0,2.027563973267873,1.0520851612091064
79,11,11.0,2.031732439994812,1.0520851612091064
80,10,10.0,2.0338730573654176,1.0520851612091064
81,11,11.0,2.038221976973794,1.0520851612091064
82,10,10.0,2.03140407204628,1.0520851612091064
83,12,12.0,2.0348338385423026,1.0520851612091064
84,10,10.0,2.039345920085907,1.0520851612091064
85,10,10.0,2.0434753775596617,1.0520851612091064
86,10,10.0,2.042060387134552,1.0520851612091064
87,12,12.0,2.0507988333702087,1.0520851612091064
88,12,12.0,2.061766634384791,1.0520851612091064
89,11,11.0,2.065043807029724,1.0520851612091064
90,14,14.0,2.0649252278464183,1.0520851612091064
91,11,11.0,2.0578039342706855,1.0520851612091064
92,11,11.0,2.0566566207192163,1.0520851612091064
93,11,11.0,2.0706588354977695,1.0520851612091064
94,9,9.0,2.072806636492411,1.0520851612091064
95,15,15.0,2.069803222020467,1.0520851612091064
96,14,14.0,2.0701750091144016,1.0520851612091064
97,10,10.0,2.069960582256317,1.0520851612091064
98,11,11.0,2.071015087040988,1.0520851612091064
99,9,9.0,2.0712305307388306,1.0520851612091064
100,15,15.0,2.0669214566548666,1.0520851612091064
101,10,10.0,2.069828188419342,1.0520851612091064
102,11,11.0,2.0683446580713447,1.0520851612091064
103,9,9.0,2.0643915600246854,1.0520851612091064
104,11,11.0,2.071402766487815,1.0520851612091064
105,14,14.0,2.0725099614688327,1.0520851612091064
106,9,9.0,2.071166925960117,1.0520851612091064
107,10,10.0,2.0657047390937806,1.0520851612091064
108,11,11.0,2.0592408938841387,1.0520851612091064
109,11,11.0,2.0753009102561255,1.0520851612091064
110,14,14.0,2.0745664494378224,1.0520851612091064
111,10,10.0,2.078681969642639,1.0520851612091064
112,12,12.0,2.127415140469869,2.0812684297561646
113,9,9.0,2.186278462409973,2.0812684297561646
114,10,10.0,2.2294963240623473,2.0812684297561646
115,13,13.0,2.280296857540424,2.0812684297561646
116,13,13.0,2.3376797437667847,2.0812684297561646
117,10,10.0,2.387569212913513,2.0812684297561646
118,10,10.0,2.4316478848457335,2.0812684297561646
119,11,11.0,2.476858474991538,2.0812684297561646
120,10,10.0,2.5240657329559326,2.0812684297561646
121,11,11.0,2.5705377838828345,2.0812684297561646
122,8,8.0,2.6120595932006836,2.0812684297561646
123,11,11.0,2.6503714214671743,2.0812684297561646
124,16,16.0,2.707673415541649,2.0812684297561646
125,9,9.0,2.760466522640652,2.0812684297561646
126,9,9.0,2.7966776953803167,2.0812684297561646
127,10,10.0,2.829430174827576,2.0812684297561646
128,12,12.0,2.86827423175176,2.0812684297561646
129,9,9.0,2.894125872188144,2.0812684297561646
130,10,10.0,2.9227838039398195,2.0812684297561646
131,11,11.0,2.9349757107821377,2.0812684297561646
132,15,15.0,2.9549832503000895,2.0812684297561646
133,14,14.0,2.9737960611070906,2.0812684297561646
134,10,10.0,2.979152226448059,2.0812684297561646
135,10,10.0,2.9911966800689695,2.0812684297561646
136,13,13.0,3.0013734377347507,2.0812684297561646
137,13,13.0,3.00132967875554,2.0812684297561646
138,12,12.0,3.011665999889374,2.0812684297561646
139,19,19.0,3.034894535416051,2.0812684297561646
140,13,13.0,3.038761909191425,2.0812684297561646
141,10,10.0,3.04394326210022,2.0812684297561646
142,18,18.0,3.044664614730411,2.0812684297561646
143,11,11.0,3.050721125169234,2.0812684297561646
144,10,10.0,3.051616895198822,2.0812684297561646
145,11,11.0,3.0464670658111572,2.0812684297561646
146,10,10.0,3.051809537410736,2.0812684297561646
147,18,18.0,3.059302012125651,2.0812684297561646
148,11,11.0,3.0504974126815796,2.0812684297561646
149,14,14.0,3.058788929666792,2.0812684297561646
150,11,11.0,3.0564140623266045,2.0812684297561646
151,11,11.0,3.0654292323372583,2.0812684297561646
152,12,12.0,3.066206991672516,2.0812684297561646
153,10,10.0,3.0626200318336485,2.0812684297561646
154,12,12.0,3.071546276410421,2.0812684297561646
155,14,14.0,3.079865029879979,2.0812684297561646
156,14,14.0,3.085064649581909,2.0812684297561646
157,10,10.0,3.077485966682434,2.0812684297561646
158,10,10.0,3.0828386306762696,2.0812684297561646
159,10,10.0,3.0877033352851866,2.0812684297561646
160,12,12.0,3.1024690767129264,2.0812684297561646
161,12,12.0,3.098088045914968,2.0812684297561646
162,10,10.0,3.0895125389099123,2.0812684297561646
163,10,10.0,3.090988612174988,2.0812684297561646
164,13,13.0,3.0909789342146654,2.0812684297561646
165,15,15.0,3.092433794339498,2.0812684297561646
166,13,13.0,3.0859895394398618,2.0812684297561646
167,11,11.0,3.0951427654786543,2.0812684297561646
168,10,10.0,3.10153386592865,2.0812684297561646
169,16,16.0,3.104611247777939,2.0812684297561646
170,18,18.0,3.1087474293178983,2.0812684297561646
171,9,9.0,3.1075877613491483,2.0812684297561646
172,11,11.0,3.097415414723483,2.0812684297561646
173,13,13.0,3.099518528351417,2.0812684297561646
174,14,14.0,3.0942342962537492,2.0812684297561646
175,15,15.0,3.105337142944336,2.0812684297561646
176,13,13.0,3.100462473355807,2.0812684297561646
177,13,13.0,3.104763572032635,2.0812684297561646
178,17,17.0,3.1111752355799958,2.3813601101146027
179,11,11.0,3.191830179908059,3.1015801429748535
180,10,10.0,3.2542789459228514,3.1015801429748535
181,9,9.0,3.3039041095309787,3.1015801429748535
182,14,14.0,3.3616466181618825,3.1015801429748535
183,10,10.0,3.4219603538513184,3.1015801429748535
184,9,9.0,3.470643785264757,3.1015801429748535
185,12,12.0,3.5232965846856437,3.1015801429748535
186,12,12.0,3.579040845235189,3.1015801429748535
187,9,9.0,3.628053347269694,3.1015801429748535
188,9,9.0,3.675076471434699,3.1015801429748535
189,9,9.0,3.719445652431912,3.1015801429748535
190,10,10.0,3.7593916177749636,3.1015801429748535
191,9,9.0,3.799677160051134,3.1015801429748535
192,9,9.0,3.834083676338196,3.1015801429748535
193,11,11.0,3.8767883344130083,3.1015801429748535
194,12,12.0,3.9129575987656913,3.1015801429748535
195,15,15.0,3.9373326381047566,3.1015801429748535
196,12,12.0,3.9491748015085855,3.1015801429748535
197,12,12.0,3.9510104854901633,3.1015801429748535
198,14,14.0,3.968809519495283,3.1015801429748535
199,11,11.0,3.984663410620256,3.1015801429748535
200,17,17.0,3.9932589180329265,3.1015801429748535
201,17,17.0,4.001168208963731,3.1015801429748535
202,12,12.0,4.000412513812383,3.1015801429748535
203,12,12.0,4.001598089933395,3.1015801429748535
204,11,11.0,4.016946770928123,3.1015801429748535
205,11,11.0,4.014868682081049,3.1015801429748535
206,17,17.0,4.017604287932901,3.1015801429748535
207,18,18.0,4.0235299534267845,3.1015801429748535
208,13,13.0,4.029391096188472,3.1015801429748535
209,22,22.0,4.035171557556499,3.1015801429748535
210,17,17.0,4.04010351265178,3.1015801429748535
211,16,16.0,4.056432470679283,3.1015801429748535
212,21,21.0,4.042758544286092,3.1015801429748535
213,17,17.0,4.043876100988949,3.1015801429748535
214,19,19.0,4.060762938700225,3.1015801429748535
215,24,24.0,4.05603655676047,3.1015801429748535
216,17,17.0,4.063172627897823,3.1015801429748535
217,32,32.0,4.06813433021307,3.1015801429748535
218,22,22.0,4.070777567950162,3.1015801429748535
219,19,19.0,4.0733573938670915,3.1015801429748535
220,23,23.0,4.084374500357586,3.1015801429748535
221,28,28.0,4.078474215098789,3.1015801429748535
222,24,24.0,4.072240273157756,3.1015801429748535
223,15,15.0,4.065532747904459,3.1015801429748535
224,21,21.0,4.065240031196957,3.1015801429748535
225,19,19.0,4.073907237303884,3.1015801429748535
226,20,20.0,4.078663110733032,3.1015801429748535
227,22,22.0,4.0815088315443555,3.1015801429748535
228,22,22.0,4.080772118134932,3.1015801429748535
229,59,59.0,4.183759220575882,3.7714994802313337
230,33,33.0,4.445948268427993,4.065610408782959
231,22,22.0,4.6013593023473565,4.065610408782959
232,22,22.0,4.714058908549222,4.065610408782959
233,19,19.0,4.817299704802664,4.065610408782959
234,18,18.0,4.878914501931932,4.065610408782959
235,17,17.0,4.923036421046538,4.065610408782959
236,28,28.0,4.955239347049168,4.065610408782959
237,14,14.0,4.965743592807224,4.065610408782959
238,19,19.0,4.965227139623542,4.065610408782959
239,21,21.0,4.972937300091698,4.065610408782959
240,23,23.0,4.97471895425216,4.065610408782959
241,18,18.0,4.99091116587321,4.065610408782959
242,33,33.0,4.9955689473585645,4.065610408782959
243,31,31.0,4.991422653198242,4.065610408782959
244,33,33.0,5.005297696951664,4.065610408782959
245,16,16.0,5.008503124117851,4.065610408782959
246,16,16.0,5.003495410084724,4.065610408782959
247,24,24.0,5.009100824594498,4.065610408782959
248,24,24.0,5.005823363860448,4.065610408782959
249,18,18.0,5.007876515388489,4.065610408782959
250,20,20.0,5.0115061044693,4.065610408782959
