epoch,q-online-value,q-target-value,epsilon,loss_mean
1.0,0.11385884948685998,0.03082435900796554,0.9386249495354222,0.5072406362742186
2.0,0.19581264717271551,0.05311049941883539,0.8810548453531973,0.4011918413452804
3.0,0.41037641325965524,0.06946006346333888,0.8270537998067655,0.28402186278253794
4.0,0.5120309735648334,0.04442779906094074,0.7764005491043259,0.16935897315852344
5.0,0.59685929864645,0.033849744308099616,0.7288875467029541,0.08843333687400445
6.0,0.9852417884394526,0.05863184694953816,0.6843201129077516,0.039703329966869205
7.0,0.8422758597880602,0.02675183184328489,0.6425156371915971,0.01654345670976909
8.0,0.9757205760106444,0.04011942236957111,0.603302829967083,0.007093093387084082
9.0,0.9736971156671643,0.021814883175466093,0.5665210207448542,0.0026808701750269393
10.0,1.055756302550435,0.0691124921077062,0.5320194998026181,0.0016546896686122636
11.0,1.0815532738342881,0.06859097982487583,0.49965690066738644,0.0011129027743663755
12.0,1.0828995313495398,0.08045827500973246,0.46930062088073027,0.0008923328978198697
13.0,1.1630515856668353,0.5844162985940784,0.4408262786736931,0.18771762248070445
14.0,1.670804051682353,1.0898997224867344,0.41411720332514346,0.1707853068364784
15.0,1.97532057762146,1.093248961493373,0.38906395711536096,0.0690397638536524
16.0,1.984452510252595,1.0720983147621155,0.3655638869161105,0.03842432539386209
17.0,1.948021961376071,1.0718257930129766,0.3435207035798906,0.03109914365631994
18.0,1.9743734747171402,1.0847038887441158,0.32284408740494386,0.026174216287472518
19.0,1.9875775519758463,1.0765346819534898,0.3034493180594659,0.026107569035957567
20.0,2.0051968805491924,1.081747236661613,0.2852569274486622,0.02446886080360855
21.0,2.002622287720442,1.1046196343377233,0.2681923741023124,0.026895655719272327
22.0,1.9768711514770985,1.0989622930064797,0.25218573774867753,0.026586351443256717
23.0,1.9923895169049501,1.0723011596128345,0.2371714328232976,0.02606842521345243
24.0,1.985022384673357,1.0937371123582125,0.2230879397388124,0.02517656231066212
25.0,1.973929200321436,1.1070040613412857,0.20987755281470882,0.03435498549515614
26.0,2.480916727334261,1.9961862061172724,0.19748614383416432,0.2286124206148088
27.0,2.7716145887970924,1.9798908866941929,0.18586294025918362,0.0924388068378903
28.0,2.766158066689968,2.0030314084142447,0.1749603171952882,0.07392150550731458
29.0,2.8348047211766243,2.023302087560296,0.16473360225335532,0.0709254166285973
30.0,2.8321085944771767,2.020780500024557,0.15514089250904667,0.07587427366524935
31.0,2.7175978906452656,1.9899588525295258,0.14614288280983795,0.07339099998353049
32.0,2.7672485299408436,1.9911877922713757,0.1377027047261542,0.0672288661589846
33.0,2.7860368844121695,1.9963413588702679,0.12978577548672915,0.06246192799881101
34.0,2.7315115090459585,1.9763119798153639,0.12235965627921742,0.06577911652857438
35.0,2.790282879024744,2.0044478606432676,0.11539391933546027,0.06547746257274412
36.0,2.7908948436379433,1.9948199186474085,0.10886002325680014,0.05982803080405574
37.0,2.722370967268944,1.9753581956028938,0.10273119606860276,0.060037071496481076
38.0,2.9911291636526585,2.399380896240473,0.09698232552481371,0.15475725522264838
39.0,3.3417998626828194,2.7322695553302765,0.09158985621308463,0.11606200615642592
40.0,3.5047674290835857,2.8202288039028645,0.08653169303886674,0.09494362509576604
41.0,3.512092836201191,2.816219948232174,0.08178711069300812,0.08192384685389698
42.0,3.6811789870262146,2.9163876213133335,0.0773366687319075,0.0892308282200247
43.0,3.653896786272526,2.8880372643470764,0.07316213192227378,0.09381557782762684
44.0,3.6722071692347527,2.866996370255947,0.06924639552411233,0.08056689839577302
45.0,3.8560989797115326,2.952691074460745,0.06557341520579238,0.09028305439278483
46.0,3.5737584084272385,2.838206570595503,0.06212814130403032,0.08573942419025116
47.0,3.7275855280458927,2.8979365788400173,0.05889645715942476,0.07517403297242709
48.0,3.8104831613600254,2.933150500059128,0.05586512127488055,0.09167704815627076
49.0,3.719382733106613,2.9180725067853928,0.053021713059921184,0.08017557818675414
50.0,3.6486063301563263,2.8851343914866447,0.05035458193858255,0.08883993611379992
51.0,4.182861614972353,3.695736512541771,0.047852799612362905,0.1772431309800595
52.0,4.469069674611092,3.691114291548729,0.04550611528263126,0.11109131507691927
53.0,4.321565639227629,3.59731312841177,0.04330491364902258,0.12112161080585793
54.0,4.544240113347769,3.7413657009601593,0.041240175511722404,0.09540246953838505
55.0,4.972402095794678,4.035455163568258,0.03930344081621308,0.10900174983544275
56.0,4.725127279758453,3.8560420759022236,0.03748677398906071,0.09893978848413099
57.0,4.930654101073742,3.9711292423307896,0.03578273142271016,0.07673108794551808
58.0,5.324328027665615,4.278748262673616,0.03418433097606016,0.09186233510263264
59.0,5.01779443025589,4.047982607036829,0.032685023365850316,0.09585185283503961
60.0,5.047959178686142,4.085114125162363,0.031278665331639026,0.10050686751492321
61.0,5.133874349296093,4.165639631450176,0.02995949446441861,0.0933772575808689
62.0,4.874012187123299,3.956858266144991,0.028722105595730574,0.09185667843848933
63.0,5.260879196226597,4.56425029784441,0.027561428650537526,0.14864036452490836
64.0,5.20999763160944,4.409240357577801,0.02647270787310639,0.1187683972530067
65.0,5.664661072194576,4.745868422091007,0.025451482340783003,0.12769978746655397
66.0,6.096071325242519,5.107740521430969,0.024493567685815232,0.11445721263589803
67.0,5.763247139751911,4.846930965781212,0.023595038950331715,0.09862867227639072
68.0,6.019068576395512,5.047169014811516,0.022752214504226147,0.10488179224194027
69.0,5.668682374060154,4.806316960602999,0.02196164096005241,0.10850337604642846
70.0,5.956825323402882,4.986182890832424,0.021220079023120713,0.11370467999950051
71.0,5.996500417590141,5.032271645963192,0.020524490218817092,0.11300385238428134
72.0,5.71492226421833,4.828501842916012,0.019872024442762693,0.0975982198579004
73.0,6.033660516142845,5.060003608465195,0.01926000828280098,0.09743841522140428
74.0,5.578642204403877,4.715717166662216,0.018685934064963283,0.09179134562145919
75.0,6.036182723939419,5.064278163015842,0.01814744957852983,0.10121849690040108
76.0,6.367244236171246,5.645301178097725,0.017642348438085514,0.16289329290157184
77.0,7.040023513138294,6.075259402394295,0.017168561043080073,0.11377221615111921
78.0,6.635512545704842,5.757679142057896,0.01672414609785033,0.12253699234861415
79.0,6.796104297041893,5.853509798645973,0.016307282657358656,0.10648664602194913
80.0,6.621297962963581,5.714186631143093,0.015916262666055885,0.11049556889338419
81.0,6.436107002198696,5.531055010855198,0.015549483959297422,0.11103040262969444
82.0,6.814288683235645,5.87928794324398,0.015205443698636568,0.11918169556884095
83.0,6.732744038105011,5.797554425895214,0.014882732214096833,0.12738464046560694
