episode,reward
1,186.0
2,195.0
3,187.0
4,190.0
5,200.0
6,196.0
7,196.0
8,189.0
9,195.0
10,192.0
11,185.0
12,195.0
13,195.0
14,183.0
15,196.0
16,200.0
17,186.0
18,190.0
19,191.0
20,190.0
21,186.0
22,195.0
23,178.0
24,181.0
25,180.0
26,169.0
27,190.0
28,198.0
29,193.0
30,189.0
31,199.0
32,190.0
33,200.0
34,194.0
35,196.0
36,192.0
37,184.0
38,165.0
39,182.0
40,198.0
41,193.0
42,185.0
43,186.0
44,181.0
45,180.0
46,170.0
47,180.0
48,188.0
49,198.0
50,192.0
51,182.0
52,187.0
53,189.0
54,198.0
55,170.0
56,200.0
57,190.0
58,166.0
59,200.0
60,185.0
61,187.0
62,185.0
63,179.0
64,181.0
65,200.0
66,190.0
67,200.0
68,182.0
69,173.0
70,191.0
71,200.0
72,189.0
73,194.0
74,180.0
75,176.0
76,192.0
77,195.0
78,200.0
79,196.0
80,200.0
81,198.0
82,199.0
83,193.0
84,186.0
85,198.0
86,191.0
87,191.0
88,194.0
89,195.0
90,195.0
91,188.0
92,200.0
93,173.0
94,188.0
95,183.0
96,197.0
97,196.0
98,179.0
99,188.0
100,196.0
