episode,reward
1,25.0
2,18.0
3,24.0
4,19.0
5,16.0
6,15.0
7,18.0
8,18.0
9,19.0
10,23.0
11,17.0
12,21.0
13,24.0
14,27.0
15,16.0
16,18.0
17,21.0
18,19.0
19,18.0
20,23.0
21,20.0
22,19.0
23,26.0
24,25.0
25,25.0
26,25.0
27,23.0
28,20.0
29,19.0
30,21.0
31,17.0
32,21.0
33,16.0
34,22.0
35,17.0
36,23.0
37,27.0
38,28.0
39,15.0
40,18.0
41,17.0
42,26.0
43,25.0
44,25.0
45,25.0
46,23.0
47,29.0
48,24.0
49,17.0
50,19.0
51,18.0
52,23.0
53,27.0
54,18.0
55,23.0
56,19.0
57,20.0
58,27.0
59,18.0
60,22.0
61,22.0
62,27.0
63,18.0
64,25.0
65,16.0
66,21.0
67,14.0
68,29.0
69,28.0
70,22.0
71,17.0
72,22.0
73,20.0
74,24.0
75,20.0
76,24.0
77,18.0
78,18.0
79,23.0
80,13.0
81,18.0
82,17.0
83,17.0
84,24.0
85,17.0
86,21.0
87,23.0
88,19.0
89,19.0
90,19.0
91,20.0
92,17.0
93,20.0
94,21.0
95,26.0
96,17.0
97,17.0
98,28.0
99,21.0
100,19.0
