episode,reward
1,23.0
2,62.0
3,26.0
4,40.0
5,45.0
6,41.0
7,50.0
8,41.0
9,48.0
10,24.0
11,37.0
12,30.0
13,26.0
14,23.0
15,39.0
16,45.0
17,32.0
18,57.0
19,71.0
20,27.0
21,39.0
22,59.0
23,26.0
24,25.0
25,26.0
26,22.0
27,37.0
28,35.0
29,39.0
30,41.0
31,35.0
32,34.0
33,40.0
34,27.0
35,44.0
36,27.0
37,25.0
38,22.0
39,39.0
40,40.0
41,89.0
42,24.0
43,24.0
44,32.0
45,26.0
46,33.0
47,22.0
48,27.0
49,88.0
50,56.0
51,62.0
52,30.0
53,22.0
54,62.0
55,24.0
56,37.0
57,43.0
58,23.0
59,45.0
60,31.0
61,35.0
62,25.0
63,51.0
64,27.0
65,34.0
66,27.0
67,30.0
68,21.0
69,22.0
70,26.0
71,62.0
72,31.0
73,32.0
74,27.0
75,33.0
76,24.0
77,39.0
78,48.0
79,27.0
80,29.0
81,42.0
82,82.0
83,62.0
84,31.0
85,36.0
86,45.0
87,26.0
88,32.0
89,45.0
90,31.0
91,36.0
92,32.0
93,32.0
94,38.0
95,30.0
96,51.0
97,63.0
98,24.0
99,28.0
100,47.0
