episode,reward,q-online-value,q-target-value
1,22.0,0.002196466304594651,0.005828153408365324
2,25.0,0.005532043492421508,0.0057492080907104535
3,50.0,0.018854075726121664,0.013445269288495184
4,27.0,0.011815819703042508,0.020310230343602596
5,20.0,0.019538047276437282,0.007844110873993487
6,15.0,0.020940813720226287,0.006252322820946574
7,11.0,0.01575157105922699,0.004533418635837734
8,13.0,0.01849348045885563,0.004298741044476628
9,10.0,0.01928772568702698,0.004175628782249987
10,11.0,0.012080095186829566,0.013917126590386034
11,12.0,0.024467531070113183,0.004387037130072713
12,38.0,0.05288749009370804,0.02460913233458996
13,20.0,0.05330597147345543,0.005062348787032533
14,10.0,0.038388386517763134,0.004710298508871347
15,13.0,0.04473936751484871,0.004377188356593251
16,25.0,0.08296682223677636,0.0058838697569444775
17,8.0,0.02614707365632057,0.012344247808796354
18,9.0,0.04187036544084549,0.003934201358351857
19,10.0,0.046803082525730136,0.0038965384289622305
20,12.0,0.041471591889858245,0.01471413235878572
21,10.0,0.04703948944807053,0.0039606333430856466
22,19.0,0.0824618473649025,0.0051803328515961766
23,18.0,0.08347193509340287,0.0064631614228710535
24,26.0,0.1067152351140976,0.006495701493695378
25,15.0,0.07875585556030273,0.005795990752521902
26,25.0,0.11603169322013855,0.006419105101958849
27,37.0,0.16526032060384752,0.018775301026180385
28,13.0,0.06884129166603088,0.004743039873428643
29,27.0,0.13980595380067826,0.007054083081893623
30,13.0,0.07361587762832641,0.005281072567449883
31,15.0,0.0776449504494667,0.004586294223554432
32,13.0,0.06935863524675369,0.004417019025422633
33,12.0,0.06553074061870574,0.00453723395941779
34,12.0,0.062398798763751984,0.004081130092963577
35,13.0,0.06975767076015472,0.005099985171109438
36,23.0,0.12235060095787048,0.006662200489081442
37,9.0,0.0499745899438858,0.003997453050687909
38,10.0,0.05379912853240967,0.0036910530179739
39,11.0,0.06999381482601166,0.015886364416219295
40,11.0,0.07199568569660186,0.017042420394718646
41,13.0,0.08236825823783875,0.014250671718036756
42,14.0,0.08529414296150208,0.01444458476267755
43,14.0,0.08602279007434845,0.01725312859751284
44,14.0,0.08774090588092803,0.016612825512420385
45,10.0,0.0670831573009491,0.017050117789767682
46,10.0,0.06949001371860504,0.01738770443480462
47,13.0,0.08313789188861848,0.01618594391271472
48,12.0,0.08054917991161346,0.019180397246964277
49,11.0,0.0770138281583786,0.04281896648928523
50,12.0,0.0913401198387146,0.08077810883522034
51,19.0,0.14680538177490235,0.11987806916236877
52,17.0,0.13748709857463837,0.10514017879962921
53,12.0,0.11803578674793243,0.08483419179916382
54,10.0,0.09756989300251007,0.0673809963464737
55,12.0,0.12581595182418823,0.08368178904056549
56,12.0,0.12976743876934052,0.08493883252143859
57,12.0,0.1335194879770279,0.08519599556922913
58,10.0,0.10621896624565125,0.05666959524154663
59,13.0,0.13075065433979036,0.07104879796504975
60,10.0,0.10638834536075592,0.05611816644668579
61,10.0,0.100914745926857,0.05432422697544098
62,10.0,0.10556995332241058,0.056179834604263304
63,10.0,0.10157572150230408,0.055191941261291504
64,11.0,0.12300011217594146,0.07348123610019684
65,9.0,0.10277603209018707,0.06176074385643005
66,12.0,0.1377820712327957,0.08384146928787231
67,12.0,0.13361787557601928,0.07902760922908783
68,10.0,0.1180662453174591,0.07467676877975464
69,12.0,0.12245348811149598,0.06759932518005371
70,10.0,0.09989253520965576,0.05536392271518707
71,12.0,0.12198630511760712,0.06543286502361298
72,10.0,0.11400250673294067,0.06894593715667724
73,10.0,0.10324170112609864,0.0558010995388031
74,8.0,0.08307324290275574,0.04505935728549957
75,11.0,0.12245760560035705,0.07777899086475372
76,11.0,0.12431892275810241,0.07411552488803863
77,10.0,0.11521610140800476,0.06863223612308503
78,16.0,0.18011021614074707,0.09919175267219543
79,10.0,0.11124383211135865,0.06756742596626282
80,13.0,0.14655203461647034,0.08446955442428589
81,13.0,0.1440178322792053,0.08559453964233399
82,10.0,0.11703803420066833,0.06915707230567932
83,13.0,0.14923470020294188,0.0871239185333252
84,9.0,0.10271178483963013,0.06310556828975677
85,12.0,0.13773876070976257,0.08034704566001892
86,12.0,0.13645450830459593,0.08536169230937958
87,9.0,0.10150729417800904,0.06433193325996399
88,10.0,0.11210635185241699,0.07111078798770905
89,10.0,0.11412650108337402,0.07446691453456879
90,14.0,0.15951283454895018,0.09623006880283355
91,13.0,0.14813075304031373,0.08628183722496033
